,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
258,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH,319765,Toa Payoh,"59, 231, 141",TOA PAYOH,GIRLS' SCHOOL,PRIMARY,"1.3328181527966798,103.84191837650101"
259,CHIJ (KELLOCK),121 QUEENSWAY,149059,Commonwealth Station,"32,93,100,105,111,122,123,145,147,153, 186,195,196,198,855,961,970",BUKIT MERAH,GIRLS' SCHOOL,PRIMARY,"1.30205082145356,103.80026460737899"
260,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 136, 147, 102, 112, 113, 119, 136",HOUGANG,GIRLS' SCHOOL,PRIMARY,"1.37317401669512,103.89765938461599"
261,DE LA SALLE SCHOOL,11 CHOA CHU KANG ST 52,689285,YEW TEE MRT,"TIBS 302, 979",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.39507191622879,103.74344364425899"
262,ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,"Potong Pasir,Toa Payoh","8,13,26,31,90,90A,107,133,142,147,853, NR6",TOA PAYOH,BOYS' SCHOOL,PRIMARY,"1.33138913071752,103.865128939008"
263,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok MRT,17,BEDOK,GIRLS' SCHOOL,PRIMARY,"1.33480685527669,103.94120887395901"
264,ST. GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN,556742,Lor Chuan MRT Station (Circle Line),"73, 105, 105A, 159",SERANGOON,BOYS' SCHOOL,PRIMARY,"1.3492460337287,103.862332032728"
265,ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,"Dhoby Ghuat, Little India (NEL)","64, 65, 65M, 85, 97, 103, 111, 131, 139",CENTRAL,GIRLS' SCHOOL,PRIMARY,"1.30414407358334,103.84582026643801"
266,ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,Novena,21;54;56;57;124;131;166;518;851,NOVENA,BOYS' SCHOOL,PRIMARY,"1.31770225320333,103.845670081922"
267,ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,Kembangan MRT Station,"2,7,24,25,26,28,30,32,33,67,854",BEDOK,BOYS' SCHOOL,PRIMARY,"1.31881620631886,103.917526142651"
268,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",SERANGOON,GIRLS' SCHOOL,PRIMARY,"1.35795142682271,103.86425016247"
269,MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",HOUGANG,BOYS' SCHOOL,PRIMARY,"1.3739376385081699,103.88969080771099"
270,CHIJ OUR LADY QUEEN OF PEACE,4 CHESTNUT DRIVE,679287,"Bukit Batok, Cashew, Hillview, Bukit Panjang","180, 67, 171, 176, 177, 178, 184, 961, 963, 970",BUKIT PANJANG,GIRLS' SCHOOL,PRIMARY,"1.36675801448843,103.767694820161"
271,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",QUEENSTOWN,CO-ED SCHOOL,PRIMARY,"1.30828686640692,103.777022353741"
272,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL,389706,Aljunied,"80, 134, 155",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.3175927496930402,103.883892989147"
273,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,Bishan MRT Station,"76, 132, 165, 166, 169, 265, 268, 269",BISHAN,CO-ED SCHOOL,PRIMARY,"1.34911457448237,103.854447658027"
274,ST. HILDA'S PRIMARY SCHOOL,2 TAMPINES AVE 3,529706,Tampines,Feeder Bus service: 293 from Tampines Interchange (towards St 71),TAMPINES,CO-ED SCHOOL,PRIMARY,"1.34934994368498,103.937920511812"
275,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,60 DUNEARN ROAD,309434,"Newton, Botanic Gardens, Stevens","66, 105, 132, 151, 153, 154, 156, 170, 67, 171, 186, 190, 700, 960,605",NOVENA,GIRLS' SCHOOL,PRIMARY,"1.32035471745888,103.829919156249"
276,METHODIST GIRLS' SCHOOL (PRIMARY),11 BLACKMORE DRIVE,599986,King Albert Park MRT,"66, 67, 74, 151, 154, 157, 170, 171,174",BUKIT TIMAH,GIRLS' SCHOOL,PRIMARY,"1.33286306015344,103.78336339211201"
277,NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,Sengkang Station,"156, 159, 161, 371, 372",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.39206468503475,103.890924976943"
278,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD,387621,na,na,GEYLANG,CO-ED SCHOOL,PRIMARY,"1.32685351993337,103.881002098815"
279,KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,Dakota,"Service 7,70,70M,197(to Guillemard Road)",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.31111421924858,103.888209412231"
280,MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,Punggol Station,"3,62,83",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.3948535630087302,103.908572571105"
281,NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,Nil,"13, 16, 31,36, 55, 608, 197, 196, 135 (at Marine Parade road) 13, 16 and 196 (at Marine Terrace)",MARINE PARADE,CO-ED SCHOOL,PRIMARY,"1.30552506704307,103.91746302212098"
282,RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719,Bedok MRT,"Bus 14, 17, 18, 28, 66, 67, 69, 222, 227, 228",BEDOK,CO-ED SCHOOL,PRIMARY,"1.3334938298266201,103.934374884855"
283,TAO NAN SCHOOL,49 MARINE CRESCENT,449761,"Paya Lebar, Eunos","13, 16, 31, 36, 43, 48, 55, 134, 196, 197",MARINE PARADE,CO-ED SCHOOL,PRIMARY,"1.30463152903464,103.91120423214599"
284,NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY,"1.32009988434431,103.80801530619301"
285,ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 32,659401,Bukit Gombak MRT Station,945,BUKIT BATOK,CO-ED SCHOOL,PRIMARY,"1.36463912533321,103.749294036695"
286,MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.3284077229608502,103.901527649046"
287,PEI CHUN PUBLIC SCHOOL,580 TOA PAYOH EAST,319133,Toa Payoh Station and Braddell Station,"Bus Service 232, 57",TOA PAYOH,CO-ED SCHOOL,PRIMARY,"1.33274088113983,103.858628716978"
288,POI CHING SCHOOL,21 TAMPINES STREET 71,529067,Tampines MRT,"Bus 293, 72, 27 and 168",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.35808700067906,103.93535252147899"
289,KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,Braddell,"SBS 235,56,73,88,157,159,163,231,",TOA PAYOH,CO-ED SCHOOL,PRIMARY,"1.33740763550643,103.847761130585"
290,NAN HUA PRIMARY SCHOOL,170 WEST COAST ROAD,127443,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",CLEMENTI,CO-ED SCHOOL,PRIMARY,"1.3060837372472,103.765041255472"
291,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,Beauty World,"970, 852, 174, 173, 157, 77, 61",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY,"1.3380550779688,103.77610824803301"
292,AI TONG SCHOOL,100 BRIGHT HILL DRIVE,579646,Bishan MRT,"410, 162, 52",BISHAN,CO-ED SCHOOL,PRIMARY,"1.36058343005817,103.83302033725"
293,HONG WEN SCHOOL,30 TOWNER ROAD,327829,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985 Balestier Road: 21, 125, 130, 139, 145",KALLANG,CO-ED SCHOOL,PRIMARY,"1.32168928544377,103.857651758668"
294,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON,536451,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.3667378414426299,103.89368414832701"
295,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,"Aljunied, Kovan, Serangoon","53, 62, 113, 45",HOUGANG,GIRLS' SCHOOL,PRIMARY,"1.3498418643476298,103.88497836167299"
296,CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,Yishun MRT station,Feeder Service 811,YISHUN,CO-ED SCHOOL,PRIMARY,"1.4384623116861002,103.839070707702"
297,CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",BEDOK,GIRLS' SCHOOL,PRIMARY,"1.3065268624000201,103.91092158001499"
298,ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,Newton MRT Station,"Bus 48, 66, 67, 170, 171, 603, 700",NOVENA,BOYS' SCHOOL,PRIMARY,"1.3187186062179,103.83534516884"
299,ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","14, 33, 74, 166, 196",QUEENSTOWN,CO-ED SCHOOL,MIXED LEVEL,"1.3024447875931398,103.78024981995199"
300,ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 171, 176, 178, 184, 961, 963, 970",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY,"1.3691629528153704,103.767937546001"
301,CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,"59, 141, 231",TOA PAYOH,GIRLS' SCHOOL,SECONDARY,"1.3324621298145,103.842719447087"
302,GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,ALJUNIED MRT,"40,62,63,80,100,125,134,155,158",GEYLANG,CO-ED SCHOOL,SECONDARY,"1.31765897065969,103.882503652358"
303,CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,KEMBANGAN MRT,"4N, 13, 16, 31, 36, 43, 47, 48, 55, 134, 135, 150, 196, 196E, 197, 763",MARINE PARADE,GIRLS' SCHOOL,SECONDARY,"1.30659722378099,103.917754219162"
304,MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,HOUGANG MRT,"74, 74E, 88, 101, 147, 147A, 161",HOUGANG,BOYS' SCHOOL,SECONDARY,"1.37348259766875,103.88746350647699"
305,SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,STEVENS MRT,"48, 66, 67, 105, 132, 151, 153, 154, 156, 170, 171, 186, 190, 700, 700A, 960, 971E, 972",NOVENA,GIRLS' SCHOOL,SECONDARY,"1.3210326874998501,103.82807785920099"
306,ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342,POTONG PASIR MRT,"8, 13, 26, 31, 90, 90A, 107, 133, 142, 147, 853",TOA PAYOH,BOYS' SCHOOL,SECONDARY,"1.33099027392774,103.86594614030001"
307,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,"BEDOK MRT, BEDOK RESERVOIR MRT",17,BEDOK,GIRLS' SCHOOL,SECONDARY,"1.33496121372222,103.941668784027"
308,ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,SERANGOON MRT,158,SERANGOON,BOYS' SCHOOL,SECONDARY,"1.34664416834562,103.875734242964"
309,CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY,548595,SENGKANG MRT,"50, 82, 86, 88, 119,136",SENG KANG,GIRLS' SCHOOL,SECONDARY,"1.3917809913189099,103.902577350084"
310,ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD,308274,STEVENS MRT,"105, 132, 151, 153, 154, 156, 186, 190, 700, 960, 972",NOVENA,CO-ED SCHOOL,MIXED LEVEL,"1.32365560903137,103.82856650612699"
311,ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,FARRER ROAD MRT,"48, 93, 153, 165, 174, 186, 855, 961",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY,"1.3197746405058701,103.809602215402"
312,ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,KEMBANGAN MRT,"10,12,13,14,16,31,32,36,40,48,55,76,155,135,196,197",BEDOK,BOYS' SCHOOL,SECONDARY,"1.3080178597206,103.917461756621"
313,CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",BUKIT MERAH,GIRLS' SCHOOL,SECONDARY,"1.27602924835422,103.82234390342501"
314,CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,WOODLANDS MRT,901,WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.4265398191060599,103.792987223691"
315,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,"KOVAN MRT, SERANGOON MRT","45, 53, 53M, 62, 113",HOUGANG,GIRLS' SCHOOL,SECONDARY,"1.35080512809599,103.88558660500601"
316,YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,"KOVAN MRT, SERANGOON MRT, HOUGANG MRT","25,51,53,53M,55,62,87,113,119,151,854",HOUGANG,CO-ED SCHOOL,SECONDARY,"1.3569336032857902,103.890457624478"
317,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795,BISHAN MRT,"53, 54, 56, 410G, 410W",BISHAN,CO-ED SCHOOL,SECONDARY,"1.3501096480955401,103.854891668362"
318,ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,"TAMPINES MRT, TAMPINES WEST MRT","22, 129, 293, 298",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.35037576743343,103.936654688332"
319,METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 563, 852, 961, 970",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY,"1.33286306015344,103.78336339211201"
320,HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,PASIR RIS MRT,"3, 5, 6, 12, 17, 21, 89, 354, 358",PASIR RIS,CO-ED SCHOOL,SECONDARY,"1.3746382031977902,103.954751280409"
321,ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 171, 700, 960",NOVENA,BOYS' SCHOOL,SECONDARY,"1.3194506083238897,103.835698465252"
322,ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",BEDOK,CO-ED SCHOOL,SECONDARY,"1.33062454661531,103.941062122327"
323,CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",BISHAN,BOYS' SCHOOL,MIXED LEVEL,"1.3547888765266898,103.8449341135"
324,CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,DAKOTA MRT,"10,12,14,16,30,31,32,33,40,43,135,134,196,197",MARINE PARADE,CO-ED SCHOOL,SECONDARY,"1.3053811307420702,103.89073656156799"
325,CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",YISHUN,CO-ED SCHOOL,SECONDARY,"1.41874603005992,103.83731928891899"
326,HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",HOUGANG,CO-ED SCHOOL,SECONDARY,"1.37121506515605,103.896026606821"
327,MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,BARTLEY MRT,"28, 93, 100, 135, 155, 158",TOA PAYOH,BOYS' SCHOOL,MIXED LEVEL,"1.34136950913452,103.87781693075"
328,NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",SENG KANG,CO-ED SCHOOL,SECONDARY,"1.38868744166163,103.890286215943"
329,NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY,"1.3306875696678502,103.80238541876301"
330,CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT","76, 265, 268, 269",ANG MO KIO,GIRLS' SCHOOL,MIXED LEVEL,"1.37372967322212,103.83430887711599"
331,MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD,297754,Braddell MRT Station or  Caldecott MRT Station,"141, 235",TOA PAYOH,GIRLS' SCHOOL,PRIMARY,"1.34043840661369,103.839811736775"
332,MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,"EUNOS MRT, MACPHERSON MRT, UBI MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 854",GEYLANG,CO-ED SCHOOL,SECONDARY,"1.32752022209275,103.901811007466"
333,PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,"45, 70, 71, 76, 86, 128, 668, 733, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY,"1.38175437421949,103.842382968794"
334,FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT","33,14,74,166,196",QUEENSTOWN,CO-ED SCHOOL,SECONDARY,"1.30192088406782,103.784368149041"
335,NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.3543982390207698,103.95674468515499"
336,SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY,737913,Woodlands MRT,"900A, 901",WOODLANDS,CO-ED SCHOOL,MIXED LEVEL,"1.4264119295959499,103.789436172815"
337,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1,129957,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 196, 197, 198",CLEMENTI,CO-ED SCHOOL,MIXED LEVEL,"1.3066209878848702,103.769412493042"
338,"SCHOOL OF THE ARTS, SINGAPORE",1 ZUBIR SAID DRIVE,227968,Dhoby Ghaut,"7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,",CENTRAL,CO-ED SCHOOL,MIXED LEVEL,"1.29935139045473,103.84867451396799"
339,NORTHLIGHT SCHOOL,151 TOWNER ROAD,327830,BOON KENG (NE9),"21, 125, 130, 139, 145, 13, 23, 31, 64, 65, 133, 147, 857, 985",MARINE PARADE,CO-ED SCHOOL,SECONDARY,"1.31982824931406,103.856326613258"
340,ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD,679697,"Downtown Line 2, Cashew mrt","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY,"1.37047801891507,103.766799773141"
341,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 TECHNOLOGY DRIVE,138572,Dover,"14, 74, 105, 106, 147, 166, 185",CLEMENTI,CO-ED SCHOOL,SECONDARY,"1.3131627861755701,103.77395412612199"
342,CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT","52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502,",JURONG EAST,CO-ED SCHOOL,SECONDARY,"1.3435550229446,103.742543051925"
343,SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,ADMIRALTY MRT,"904, 912, 913, 962, 964, 965, 969",WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.43643850246342,103.804432703156"
